"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
468751499221;;;;;"Артикул 2016";"Размеры 42-52";;https://static.tildacdn.com/tild3839-3333-4463-a166-313735376563/__1024_.jpg;;;;;;MeJRPNnFnaabJCU19EvY;;;0;0;0;0;;;;
737352666941;;2016;;;"Артикул 2016 / Бежевый- Бежевый";;;https://static.tildacdn.com/tild3839-3333-4463-a166-313735376563/__1024_.jpg;25.0000;0;;Цвет:Бежевый;;oopLKa12otH0oUBhCzla;468751499221;;0;0;0;0;;;;
541907681351;;;;;"Блузка 2029";"Размеры 46-54";;https://static.tildacdn.com/tild3239-3936-4433-b931-356239663439/__1334_.jpg;;;;;;NDTdMUR7ZnrUMtCBcnjg;;;0;0;0;0;;;;
967394560801;;2029;;;"Блузка 2029 / В точечку- В точечку";;;https://static.tildacdn.com/tild3239-3936-4433-b931-356239663439/__1334_.jpg;10.0000;0;;"Цвет:В точечку";;GZjAKba2M2IhMu683hHh;541907681351;;0;0;0;0;;;;
378143322871;;;;;"Артикул 2027";"Размеры 46-52";;https://static.tildacdn.com/tild3366-6434-4562-b131-663931363535/__1565_.jpg;;;;;;78HSdOtiEPfck84zaCFj;;;0;0;0;0;;;;
430965812681;;2027;;;"Артикул 2027 / Бирюза- Бирюза";;;https://static.tildacdn.com/tild3366-6434-4562-b131-663931363535/__1565_.jpg;21.0000;0;;Цвет:Бирюза;;OIToeCJOIJTJaMrtAinM;378143322871;;0;0;0;0;;;;
979538011151;;;;;"Артикул 2027";"Размеры 46-52";;https://static.tildacdn.com/tild6139-3634-4561-b834-313764306138/__1574_.jpg;;;;;;GrCVmXAUP9jHXUNUcgF2;;;0;0;0;0;;;;
243391528101;;2027;;;"Артикул 2027 / Красный- Красный";;;https://static.tildacdn.com/tild6139-3634-4561-b834-313764306138/__1574_.jpg;21.0000;0;;Цвет:Красный;;alCF6GZo4fzMDKPtc57z;979538011151;;0;0;0;0;;;;
520469193851;;;;;"Артикул 149";"Размеры 48-54";;https://static.tildacdn.com/tild3934-3635-4535-b663-393566333765/__1078_.jpg;;;;;;NF3u1XpPgC867oXuUy0z;;;0;0;0;0;;;;
235768391741;;149;;;"Артикул 149 / Синий- Синий";;;https://static.tildacdn.com/tild3934-3635-4535-b663-393566333765/__1078_.jpg;23.0000;0;;Цвет:Синий;;Hmrky2mx7Jn4oJJhrTs2;520469193851;;0;0;0;0;;;;
856696754921;;;;;"Костюм 2028";"Размеры 46-54";;https://static.tildacdn.com/tild3864-3832-4232-b335-373635343466/__1221_.jpg;;;;;;YX3KsaGy1PMXuAzSpzG4;;;0;0;0;0;;;;
734679620301;;2028;;;"Костюм 2028 / Светло-бежевый- Светло-бежевый";;;https://static.tildacdn.com/tild3864-3832-4232-b335-373635343466/__1221_.jpg;30.0000;0;;Цвет:Светло-бежевый;;GnMdRpIm8LaPliv1ies2;856696754921;;0;0;0;0;;;;
447626901321;;;;;"Костюм 2028";"Размеры 46-54";;https://static.tildacdn.com/tild3932-6164-4332-a631-633737663764/__1235_.jpg;;;;;;gl7zN1p5zp1sMrcMdL7u;;;0;0;0;0;;;;
662042832541;;2028;;;"Костюм 2028 / Черный- Черный";;;https://static.tildacdn.com/tild3932-6164-4332-a631-633737663764/__1235_.jpg;30.0000;0;;Цвет:Черный;;pVDsZAey0NSZzxi7yzlF;447626901321;;0;0;0;0;;;;
117130746311;;;;;"Костюм 2028";"Размеры 46-54";;https://static.tildacdn.com/tild3462-6466-4663-b937-616362646632/__1304_.jpg;;;;;;mUGRJ8NzVViljynfHflo;;;0;0;0;0;;;;
797444616181;;2028;;;"Костюм 2028 / Темно-бежевый- Темно-бежевый";;;https://static.tildacdn.com/tild3462-6466-4663-b937-616362646632/__1304_.jpg;30.0000;0;;Цвет:Темно-бежевый;;TaO0rpvPM2Z4Y36pgsEl;117130746311;;0;0;0;0;;;;
760273161241;;;;;"Артикул 1665";"Размеры 50-58";;https://static.tildacdn.com/tild3735-6532-4461-b761-616262646438/photo_2021-03-17_121.jpeg;;;;;;KmX9FAN1F5EA58FdutHp;;;0;0;0;0;;;;
422784179221;;;;;"Артикул 1910";"Размеры 50-58";;https://static.tildacdn.com/tild3361-3266-4466-b065-353638373536/1910--900-1200.jpg;;;;;;7P10GuMf9tFZi4cZNE2r;;;0;0;0;0;;;;
834603573071;;1910;;;"Артикул 1910 / Оливка с золотом- Оливка с золотом";;;https://static.tildacdn.com/tild3361-3266-4466-b065-353638373536/1910--900-1200.jpg;23.0000;24;;"Цвет:Оливка с золотом";;VRFgeL5gpNfdPK4R6Tr9;422784179221;;0;0;0;0;;;;
127486199661;;;;;"Артикул 1923";"Размеры 44-52";;https://static.tildacdn.com/tild3962-3439-4665-b535-363565306566/1923_900_1200_c.jpeg;;;;;;sMFERFs5gf6fhEPcKFzr;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
372723088961;;1923;;;"Артикул 1923 / Синий в белую полоску- Синий в белую полоску";;;https://static.tildacdn.com/tild3962-3439-4665-b535-363565306566/1923_900_1200_c.jpeg;26.0000;1;;"Цвет:Синий в белую полоску";;vHapna0TaGUNXYBpEkxe;127486199661;;0;0;0;0;;;;
642630755811;;;;;"Артикул 1843";"Размеры 52-60";;https://static.tildacdn.com/tild6630-6233-4130-b732-666464376630/1843_.jpeg;;;;;;o9cpBrI897kfRUz4P8lS;;"Хлопок 60%, Полиэстер 40%";0;0;0;0;"Женское платье 1611";"Женское платье от белорусских производителей. Подходит как на выход, так и на каждый день. Артикул 1611";;
